ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
2,1.0,4,1,0.47786535981006084,0.47786535981006106,4,24,0
2,1.0,4,2,0.016914886193642786,0.016914886149450824,10,60,0
2,1.0,4,3,0.0051283167774005545,0.005128316774767133,12,108,0
2,1.0,4,4,8.237854842718662e-14,0,17,175,0
