ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
6,0.25,3,1,0.00442773810998931,0.004427738043656839,44,2760,0
6,0.25,3,2,0.0011075604208299339,0.0011075594134456628,190,9964,0
6,0.25,3,3,9.798997167020929e-07,8.332033752807337e-07,515,27600,0
6,0.25,3,4,1.7728925549853614e-07,0,656,34447,0
