ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
6,0.25,4,1,0.5279855314376449,0.5279855303387216,123,7282,1
6,0.25,4,2,0.03563058886060966,0.03563058779670452,186,9447,0
6,0.25,4,3,0.01171982398399296,0.011719821197498224,337,19014,1
6,0.25,4,4,9.125233500972829e-05,9.093376688274106e-05,435,23471,0
