ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
2,1.0,4,1,0.8553477857846865,0.2800543422027603,4,20,5
2,1.0,4,2,0.026330745715259396,0.02633074571517418,11,65,0
2,1.0,4,3,0.014925110200144753,0.0035959868856840914,11,90,5
2,1.0,4,4,3.248734614658133e-12,0,19,147,0
