ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
7,1.0,14,1,0.7724188238747277,0.7724184921551774,90,7081,0
7,1.0,14,2,0.2724197818583486,0.27241849215517755,301,24742,5
7,1.0,14,3,0.11987796867411982,0.11987708137991504,300,23250,0
7,1.0,14,4,0.043606848519795405,0.04360637599228374,283,22648,0
