ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,0.05,2,1,9.119913713107053e-10,8.033411760241997e-10,474,37708,0
7,0,0.05,2,1,9.096520203755176e-10,8.034136474524363e-14,454,33216,0
7,1,0.05,2,1,1.6963170090811275e-08,1.6962827968988618e-08,177,13632,0
7,1,0.05,4,1,0.004730504660241941,0.004730393457441642,562,41216,3
7,2,0.05,4,2,5.581269102439279e-08,4.996032133663787e-24,1610,135707,3
7,2,0.05,4,1,0.016059377684020215,0.016059377683900034,200,13888,0
7,3,0.05,4,2,3.035427464936902e-11,5.607356092270845e-15,645,52487,0
7,3,0.05,2,1,1.9208634682854608e-10,1.9186286661664152e-10,260,19648,0
7,4,0.05,2,1,1.6362245364609507e-05,1.6362227474243682e-05,522,37184,0
7,4,0.05,2,1,3.65745382646665e-07,3.65745121478248e-07,136,10571,0
7,5,0.05,2,1,1.3373746554634636e-11,4.1104717374327745e-23,283,22860,0
7,5,0.05,2,1,1.2321265119297209e-09,1.2316490601060993e-09,235,17280,0
7,6,0.05,2,1,4.743668103412979e-05,4.743647304760003e-05,668,53833,0
7,6,0.05,2,1,5.805844249806569e-09,5.8054122391856835e-09,189,15746,0
