ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert,num_pert
3,5,-1,6,2,0.056717626139069166,0.056717625159893495,36,3496,0
3,8,-1,6,2,0.054558565004403814,0.0545585642224425,35,3404,0
3,14,-1,5,2,0.09158512831668442,0.09158512810022527,49,4600,0
3,23,-1,5,2,0.09278711750366753,0.09278711629183414,51,5060,0
3,14,-1,5,8,3.0304552238069604e-05,6.162975822039155e-33,418,41356,0
3,23,-1,5,8,1.4080961617701782e-05,1.5407439555097887e-31,356,35378,0
3,15,-1,6,2,0.07833327681273461,0.0783332753484987,43,4232,0
3,24,-1,5,2,0.11520755206438937,0.11520755175916793,54,5244,0
3,5,-1,6,8,1.8850105668821726e-05,6.162975822039155e-33,542,53900,0
3,6,-1,5,2,0.05953800468045056,0.05953800412796509,41,3956,0
3,24,-1,5,8,2.340444003967601e-05,5.546678239835239e-32,285,28322,0
3,25,-1,6,2,0.08196691496626285,0.08196691344682891,44,4324,0
3,8,-1,6,8,6.28408768621469e-06,1.5407439555097887e-33,915,91434,0
3,9,-1,6,2,0.08391305408018312,0.0839130512382561,32,3128,0
3,25,-1,6,8,7.963946128319854e-05,7.549645381997965e-32,259,25578,0
3,6,-1,5,8,6.471298128585268e-06,5.546678239835239e-32,466,46158,0
3,7,-1,6,2,0.09763128940871413,0.09763128658751069,48,5060,0
3,15,-1,6,8,1.6355136015944183e-05,3.944304526105059e-31,857,86142,0
3,16,-1,6,2,0.06887975186924278,0.0688797516350416,49,4692,0
3,9,-1,6,8,1.4272187519925872e-05,1.5407439555097887e-33,839,84280,0
3,10,-1,6,2,0.07090004957577334,0.07090004765320454,46,4324,0
3,7,-1,6,8,8.131990732795913e-06,0.0,733,73402,0
3,10,-1,6,8,0.00010652776331754321,2.465190328815662e-32,296,29204,0
3,16,-1,6,8,4.268452962530311e-06,9.860761315262648e-32,741,74186,0
