ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,5.0,32,2,0.4639840815843642,0.46398228630040994,960,78662,3
7,0,5.0,32,32,0.012833904592639559,0.012126359402683537,1006,114064,3
7,1,5.0,30,2,0.47254156125151847,0.4725413400734049,740,48026,3
7,1,5.0,30,32,0.015387841981427931,0.014666410172574473,347,31610,3
7,2,5.0,36,2,0.4617264375393256,0.4617263190240505,709,52914,3
7,2,5.0,36,64,0.0025032859697692866,0.0019960117898965802,776,114220,3
7,3,5.0,34,2,0.4518460790708097,0.45184411090029813,552,41290,3
7,3,5.0,34,64,0.0025296143577762664,0.0014122360114103268,292,35518,3
7,4,5.0,32,2,0.441590487937446,0.44159016177440513,499,33610,3
7,4,5.0,32,32,0.012179453655723246,0.008998865618028404,612,64218,3
7,5,5.0,32,2,0.46054462297952287,0.46054448547188115,592,40466,3
7,5,5.0,32,32,0.012798455831689759,0.011439582880694531,468,45954,3
7,6,5.0,34,2,0.4267525693061629,0.4267524774735059,717,61306,3
7,6,5.0,34,64,0.004789321690989695,0.0009518510051316784,620,88748,3
7,7,5.0,32,2,0.4628703109679369,0.46287004305842133,634,41080,3
7,7,5.0,32,32,0.012361447546352732,0.01183359901557781,714,78512,3
7,8,5.0,32,2,0.4725910280608495,0.47123617803785567,340,22732,3
7,8,5.0,32,32,0.016289867382468258,0.014656085686226939,721,76556,3
7,9,5.0,30,2,0.4708712740866538,0.47087112426823885,587,39070,3
7,9,5.0,30,32,0.012641621506032596,0.01260658561453017,305,27176,3
7,10,5.0,32,2,0.463967728073831,0.46396622957754846,868,73768,3
7,10,5.0,32,32,0.012785304973136846,0.012040863566619995,776,77874,3
7,11,5.0,36,2,0.4560715814192329,0.4560709826001697,593,49340,3
7,11,5.0,36,64,0.002772318621729653,0.0016437721552408028,819,118206,3
7,12,5.0,32,2,0.4453240557158178,0.4352559328495951,417,32744,3
7,12,5.0,32,32,0.009640169757245333,0.007184423955666267,547,56406,3
