ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,0,0.05,2,2,0.021536142795316238,5.579619568826411e-05,133,10205,3
8,1,0.05,4,2,0.1283648243182478,0.004647322422349411,428,32146,3
8,1,0.05,4,4,2.4341140654193794e-06,4.158669419644604e-14,903,78437,3
8,2,0.05,2,2,3.5938183693406955e-06,3.26490550536191e-06,604,45923,3
8,3,0.05,4,2,0.14739009482621845,0.14738982738363643,752,71078,3
8,3,0.05,4,4,0.11062502206436331,2.7390547362252743e-07,369,29364,3
8,4,0.05,2,2,0.000278911811355087,4.265687327101616e-05,147,14188,3
8,5,0.05,2,2,7.975267945403708e-05,7.782023292493177e-05,842,71232,3
8,6,0.05,2,2,3.724724023723702e-05,2.8994059399840563e-05,1101,103638,3
8,7,0.05,4,2,0.03173082882885192,0.031730321070644246,419,33296,3
8,7,0.05,4,4,0.023966031846059277,6.543922246743576e-23,380,29665,3
8,8,0.05,3,2,0.008716336140004666,0.004764628886523629,132,9945,3
8,8,0.05,3,4,0.007148024085386728,1.3805107524211223e-24,388,34413,3
8,9,0.05,4,2,0.12518160484415364,0.12518156209383602,658,61098,3
8,9,0.05,4,4,0.09403568776478965,7.829595443120346e-20,595,49240,3
8,10,0.05,2,2,1.5028057602339828e-05,1.5025818407857584e-05,625,57925,1
8,11,0.05,1,2,1.368389527689473e-06,1.364968109037052e-09,409,30550,3
8,12,0.05,2,2,4.840167559794217e-05,4.5902414435034015e-05,329,25646,3
