ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,0,-1,12,2,0.2052270458239424,0.20522500342361313,425,32854,3
8,0,-1,12,16,7.884510343530993e-05,6.844084174971441e-05,1008,105915,3
8,1,-1,14,2,0.18016123855270166,0.18015934905579561,840,78211,3
8,1,-1,14,16,0.0018574024407146394,0.0002712995875884064,1110,108770,3
8,2,-1,13,2,0.2684793272096088,0.12543360657632135,253,19885,3
8,2,-1,13,16,0.09643677502013143,0.00012818541667981192,585,65919,3
8,3,-1,8,2,0.030844921818067528,0.03084480377590415,353,28119,3
