ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
1,0,-1,1,1,2.4424906541753444e-14,9.860761315262648e-32,27,620,0
1,0,-1,1,1,2.1760371282653068e-14,2.465190328815662e-32,17,492,0
1,1,-1,2,1,0.0,0.0,15,476,0
1,1,-1,2,1,0.0,9.860761315262648e-32,11,380,0
1,2,-1,1,1,5.329070518200751e-15,0.0,33,956,0
1,2,-1,1,1,-2.220446049250313e-16,6.162975822039155e-33,17,444,0
1,3,-1,2,1,0.0,9.860761315262648e-32,9,316,0
1,3,-1,2,1,1.1102230246251565e-15,6.162975822039155e-33,15,412,0
1,4,-1,2,1,0.0,6.162975822039155e-33,9,300,0
1,4,-1,1,1,8.43769498715119e-15,6.162975822039155e-33,13,348,0
1,5,-1,2,1,-2.220446049250313e-16,2.465190328815662e-32,14,531,0
1,5,-1,1,1,5.551115123125783e-14,2.465190328815662e-32,15,682,0
1,6,-1,2,1,-2.220446049250313e-16,1.5407439555097887e-31,15,988,0
1,6,-1,1,1,0.0,6.162975822039155e-33,23,668,0
1,7,-1,2,1,0.0,6.162975822039155e-33,14,444,0
1,7,-1,2,1,0.0,2.465190328815662e-32,12,316,0
1,8,-1,2,1,-2.220446049250313e-16,9.860761315262648e-32,12,608,0
1,8,-1,2,1,-2.220446049250313e-16,2.465190328815662e-32,10,348,0
1,9,-1,2,1,2.220446049250313e-16,6.162975822039155e-33,10,683,0
1,9,-1,2,1,6.661338147750939e-16,9.860761315262648e-32,15,438,0
1,10,-1,2,1,0.0,2.465190328815662e-32,15,428,0
1,10,-1,2,1,0.0,9.860761315262648e-32,9,316,0
1,11,-1,2,1,0.0,2.465190328815662e-32,14,364,0
1,11,-1,1,1,6.661338147750939e-16,0.0,18,476,0
1,12,-1,2,1,0.0,0.0,12,348,0
