ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,0.5,2,2,8.727472871061792e-07,8.72746682446136e-07,14,80,0
2,1,0.5,1,2,5.1620848128264285e-05,5.162084491778546e-05,25,155,0
2,2,0.5,2,2,1.0686144846783208e-06,1.0686045637106574e-06,19,105,0
2,3,0.5,4,2,0.005406434644302349,0.005406434635833914,12,85,0
2,3,0.5,4,4,5.959899240792765e-12,0.0,18,182,0
2,4,0.5,3,2,0.00047370738737417817,0.00047370738124609104,17,100,0
2,4,0.5,3,4,6.0100813215058224e-12,4.930380657631324e-32,21,231,0
2,5,0.5,2,2,4.4250308150806106e-05,4.4250281526752145e-05,16,90,0
2,6,0.5,4,2,0.02302105644261454,0.023021056442451004,11,65,0
2,6,0.5,4,4,3.708144902248023e-12,0.0,18,175,0
2,7,0.5,4,2,0.022138235135912065,0.022138235129700264,16,85,0
2,7,0.5,4,4,2.078337502098293e-13,4.930380657631324e-32,24,182,0
2,8,0.5,2,2,5.451438519976648e-05,5.4514383526589e-05,21,145,0
2,9,0.5,2,2,2.7627636400850974e-08,2.7623564655572005e-08,13,90,0
2,10,0.5,4,2,0.008335646052402446,0.008335645990469539,11,75,0
2,10,0.5,4,4,9.288347868618985e-12,1.232595164407831e-32,24,203,0
2,11,0.5,2,2,2.0439425431950653e-05,2.04394251335044e-05,17,105,0
2,12,0.5,2,2,3.337000016156999e-05,3.336999702387797e-05,12,80,0
2,13,0.5,4,2,0.034569851329551815,0.03456985132954691,12,70,0
2,13,0.5,4,4,5.538014491435206e-12,1.232595164407831e-32,32,273,0
2,14,0.5,1,2,4.269691176728152e-05,3.687260680434145e-05,8,65,0
2,15,0.5,3,2,0.0001966126689285641,0.00019661266871426921,15,80,0
2,15,0.5,3,4,2.9531932455029164e-13,0.0,22,175,0
2,16,0.5,3,2,0.0006087327506496543,0.0006087327498719695,25,135,0
2,16,0.5,3,4,2.34315255465134e-06,1.232595164407831e-32,10,84,0
2,17,0.5,2,2,0.00013136042659755987,0.00013136042614075475,8,50,0
2,18,0.5,2,2,1.5402615611836978e-06,1.5402346706527815e-06,12,85,0
2,19,0.5,1,2,9.449603011191243e-08,9.449170440846125e-08,23,150,0
2,20,0.5,2,2,5.451490901076106e-05,5.45148882009342e-05,16,95,0
2,21,0.5,2,2,7.659691820594006e-06,7.659691610920166e-06,13,70,0
2,22,0.5,4,2,0.012939369698526715,0.012939369698448479,14,95,0
2,22,0.5,4,4,3.763878098084206e-12,0.0,23,175,0
2,23,0.5,3,2,0.000402895283019733,0.000402895282914495,21,115,0
2,23,0.5,3,4,7.638334409421077e-14,4.930380657631324e-32,21,196,0
2,24,0.5,3,2,0.000417320200498672,0.0004173201633364933,16,95,0
2,24,0.5,3,4,1.9695356456850277e-13,2.7733391199176196e-32,16,133,0
