ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
5,0,5.0,26,2,0.3701376732087216,0.3701376625619499,123,5054,2
5,0,5.0,26,32,2.1695653517284086e-05,9.629649721936179e-33,198,14076,2
5,1,5.0,24,2,0.35112048923679456,0.35112048822101244,95,3914,0
5,1,5.0,24,32,6.011152833265698e-05,5.546678239835239e-32,328,24320,2
5,2,5.0,32,2,0.4271554054014767,0.42715540017523507,174,7144,0
5,2,5.0,32,32,1.2838612109308811e-05,1.3866695599588098e-32,363,30492,2
5,3,5.0,32,2,0.41703056679564393,0.417030554068242,133,5244,2
5,3,5.0,32,32,3.0608237466256405e-06,0.0,603,51380,2
5,4,5.0,32,2,0.418642013684488,0.4186420121869724,189,7866,0
5,4,5.0,32,32,4.6066856071447226e-07,6.162975822039155e-33,307,23372,2
5,5,5.0,30,2,0.3870491328774592,0.387049132387997,121,4750,0
5,5,5.0,30,32,7.51339215425556e-05,1.2480026039629288e-31,391,32080,2
5,6,5.0,30,2,0.389143284715745,0.3891432829777299,102,4142,0
5,6,5.0,30,32,0.000285584635207628,3.8518598887744717e-32,195,13464,2
5,7,5.0,26,2,0.3957107422816335,0.3957107356484956,113,4446,0
5,7,5.0,26,32,2.3360813137668357e-06,1.5407439555097887e-33,214,16048,2
5,8,5.0,32,2,0.4092203250083146,0.40922031730700786,239,10906,0
5,8,5.0,32,32,1.805743954863548e-05,3.851859888774472e-34,241,16864,2
5,9,5.0,32,2,0.4170170339147692,0.4170170267749704,212,9828,0
5,9,5.0,32,32,3.036069094575211e-06,1.5407439555097887e-33,330,27288,2
5,10,5.0,32,2,0.4035958074664233,0.40359521580453067,160,7682,2
5,10,5.0,32,32,2.706616323303046e-06,5.546678239835239e-32,150,10472,2
5,11,5.0,32,2,0.4223679556369312,0.4223679338073726,150,6004,2
5,11,5.0,32,32,2.1724187912103288e-05,6.162975822039155e-33,534,43464,2
5,12,5.0,32,2,0.3921158817826,0.39211521368907987,99,4066,2
5,12,5.0,32,32,1.6415689203380657e-06,6.162975822039155e-33,445,37292,2
5,13,5.0,32,2,0.42808836442180537,0.42808536866760577,186,8500,2
5,13,5.0,32,32,1.3064422269004616e-07,2.465190328815662e-32,700,57116,2
5,14,5.0,32,2,0.4174311277033672,0.4174311265892509,256,13274,1
5,14,5.0,32,32,1.5172826726556066e-06,1.5407439555097887e-33,527,42980,2
5,15,5.0,32,2,0.40209400672288226,0.4020940053296461,119,4788,0
5,15,5.0,32,32,2.5714298170637084e-06,0.0,530,42820,2
5,16,5.0,32,2,0.40652279852713813,0.4065227252829935,86,3496,2
5,16,5.0,32,32,1.0770917518027057e-06,2.465190328815662e-32,374,28960,2
5,17,5.0,30,2,0.38792244988341684,0.38792244949225196,234,10430,0
5,17,5.0,30,32,6.779264332595902e-06,3.8518598887744717e-32,388,31216,2
5,18,5.0,32,2,0.4196297748503257,0.4196297425469235,228,10356,2
5,18,5.0,32,32,6.491154979221259e-07,1.5407439555097887e-33,383,31544,2
5,19,5.0,30,2,0.38105957652437505,0.38105957023533166,114,4598,0
5,19,5.0,30,32,4.138891484595231e-06,0.0,367,29840,2
5,20,5.0,30,2,0.3926895026890049,0.392689501047547,148,6004,0
5,20,5.0,30,32,3.420594332947946e-06,1.5407439555097887e-33,209,14416,2
5,21,5.0,32,2,0.41423992448348035,0.4142399198146639,256,10716,0
5,21,5.0,32,32,1.015812339415223e-05,1.3866695599588098e-32,284,21472,2
5,22,5.0,32,2,0.428203650988624,0.4282036416932671,197,7752,0
5,22,5.0,32,32,1.721742833055151e-06,6.162975822039155e-33,360,27436,2
5,23,5.0,32,2,0.4220640414007942,0.42206403463046815,264,11738,0
5,23,5.0,32,32,1.2778008248018335e-05,6.162975822039155e-33,342,26440,2
5,24,5.0,32,2,0.4072044303107884,0.40720443002394324,228,10296,0
5,24,5.0,32,32,6.08305664190345e-06,6.162975822039155e-33,391,29276,2
