ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,14,0.05,2,1,1.5283205856420068e-07,1.2645415427895326e-14,967,81042,3
8,15,0.05,1,1,3.64545768705149e-06,5.444018778046547e-13,2204,194849,3
8,16,0.05,1,1,4.4934724829914785e-08,4.987993614513112e-19,835,71467,3
8,17,0.05,1,1,4.6392038299813976e-07,2.3034710814148335e-14,659,55637,3
8,18,0.05,1,1,5.329952275090477e-07,1.2468329952041737e-09,1410,130155,3
8,19,0.05,4,1,0.049627472655200844,0.04962735645422038,536,42997,3
8,19,0.05,4,2,5.726899898750304e-07,5.968184060195004e-11,1076,116207,3
