ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
4,0,0.05,2,1,9.69519402094221e-05,9.695194020828223e-05,44,1325,0
4,1,0.05,2,1,7.704947790898586e-14,3.516788523488502e-32,62,2487,0
4,2,0.05,2,1,5.083940004091403e-06,5.083939999654381e-06,46,1525,0
4,3,0.05,1,1,3.2123859128319054e-10,8.753887253303708e-22,192,6500,0
4,4,0.05,2,1,2.347677607872356e-11,2.287385321865563e-25,91,3400,0
4,5,0.05,2,1,3.552713678800501e-15,5.305288146841647e-31,44,1461,0
4,6,0.05,1,1,4.7316150997289697e-11,1.8749411386940205e-15,115,4416,0
4,7,0.05,2,1,1.158895040376251e-06,1.1588949620584802e-06,69,2500,0
4,8,0.05,1,1,2.5947135551263045e-09,2.2738267331564484e-31,313,10650,0
4,9,0.05,3,1,0.0012099371066423004,0.0012099371063983117,73,2175,0
4,9,0.05,3,2,1.5853984791647235e-13,8.524069507732116e-20,97,4320,0
4,10,0.05,2,1,3.552713678800501e-15,2.4993891301957932e-20,40,1237,0
4,11,0.05,1,1,1.750347644602357e-09,1.6858271685161878e-20,149,4900,0
4,12,0.05,2,1,4.911626660941693e-13,5.508793107848352e-30,96,3486,0
4,13,0.05,1,1,6.384026196570858e-09,1.6379100463461073e-18,93,3799,0
4,14,0.05,2,1,5.882249986877142e-06,5.882249967301494e-06,61,1775,0
4,15,0.05,1,1,1.7003065622134272e-11,2.333012510035551e-18,71,2736,0
4,16,0.05,1,1,1.3011813848606835e-12,1.1246652142031228e-12,144,5537,0
4,17,0.05,2,1,7.771561172376096e-15,1.238554959490388e-15,40,1986,0
4,18,0.05,1,1,4.150715327000398e-09,7.568658001745228e-34,153,5312,0
4,19,0.05,2,1,2.384759056894836e-13,2.3374147235049225e-13,62,2487,0
4,20,0.05,1,1,6.052580658888473e-11,1.0147265863859896e-12,162,6562,0
4,21,0.05,1,1,8.073741675218571e-11,4.1173057850611466e-26,85,3350,0
4,22,0.05,1,1,4.04432043410452e-12,1.0057682523377687e-24,182,6786,0
4,23,0.05,1,1,7.036111822067426e-07,7.03606790131108e-07,208,6425,0
4,24,0.05,2,1,1.2323475573339238e-13,7.2641762141541e-18,65,1962,0
