ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,7,0.05,4,1,0.03173032159818889,0.031730321070644246,469,40527,0
8,7,0.05,4,2,1.1927882792583944e-08,6.543922246743576e-23,1392,128986,3
8,8,0.05,3,1,0.004764676671928925,0.004764628886523629,794,70080,3
8,8,0.05,3,2,1.0407437400772324e-06,1.3805107524211223e-24,410,38961,3
8,9,0.05,4,1,0.12518159187614408,0.12518156209383602,1310,106361,3
8,9,0.05,4,2,2.7464520657716207e-08,7.829595443120346e-20,1220,112188,3
8,10,0.05,2,1,1.5026178506127863e-05,1.5025818407857584e-05,399,34760,0
