ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
4,0,0.05,2,1,9.695194021719367e-05,9.695194020828223e-05,43,2896,0
4,0,0.05,2,1,3.147926364022169e-12,3.516788523488502e-32,77,2986,0
4,1,0.05,2,1,5.083940008088206e-06,5.083939999654381e-06,43,1725,0
4,1,0.05,1,1,1.007336658531699e-09,8.753887253303708e-22,170,5800,0
4,2,0.05,2,1,2.5503008593830145e-09,2.287385321865563e-25,209,7761,0
4,2,0.05,2,1,8.881784197001252e-16,5.305288146841647e-31,42,1437,0
4,3,0.05,1,1,4.963984778783015e-11,1.8749411386940205e-15,32,1200,0
4,3,0.05,2,1,1.1588949762053602e-06,1.1588949620584802e-06,87,3225,0
4,4,0.05,1,1,2.0708273762437557e-08,2.2738267331564484e-31,215,7225,2
4,4,0.05,3,1,0.0012099371064695497,0.0012099371063983117,81,3587,0
4,5,0.05,3,2,2.0146182500013765e-09,8.524069507732116e-20,155,6355,0
4,5,0.05,2,1,4.440892098500626e-16,2.4993891301957932e-20,49,2062,0
4,6,0.05,1,1,4.246058393775343e-09,1.6858271685161878e-20,116,3800,0
4,6,0.05,2,1,2.4424906541753444e-13,5.508793107848352e-30,82,2687,0
4,7,0.05,1,1,8.27442359074837e-09,1.6379100463461073e-18,70,3075,0
4,7,0.05,2,1,5.88224997088993e-06,5.882249967301494e-06,50,2512,0
4,8,0.05,1,1,1.0736456168558561e-10,2.333012510035551e-18,114,3925,0
4,8,0.05,1,1,1.2219114609024473e-12,1.1246652142031228e-12,80,2462,0
4,9,0.05,2,1,1.1612932837579137e-13,1.238554959490388e-15,45,2261,0
4,9,0.05,1,1,1.122155035560013e-09,7.568658001745228e-34,84,4012,0
4,10,0.05,2,1,2.353672812205332e-13,2.3374147235049225e-13,47,1962,0
4,10,0.05,1,1,4.09246525556739e-09,1.0147265863859896e-12,222,7600,0
4,11,0.05,1,1,8.052593036822486e-09,4.1173057850611466e-26,62,2362,0
4,11,0.05,1,1,1.836086838125084e-12,1.0057682523377687e-24,89,3388,0
4,12,0.05,1,1,7.036074127775294e-07,7.03606790131108e-07,149,4525,0
4,12,0.05,2,1,7.636113963371827e-13,7.2641762141541e-18,77,2836,0
