ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,7,0.5,8,1,0.2378776254541881,0.23787762520007508,845,72136,0
8,5,0.5,7,1,0.08082802571860137,0.08082802561091793,957,83975,0
8,9,0.5,9,1,0.08661724131501114,0.08661724113968335,963,85707,0
8,7,0.5,8,3,0.0013094891417606558,0.0013036689009627985,1069,106015,3
8,8,0.5,8,1,0.03677513255164555,0.03677513248081268,579,47742,0
8,9,0.5,9,4,5.774236194611149e-05,2.4927850878727425e-05,1586,172312,3
8,10,0.5,12,1,0.22360863059593516,0.2236071556378459,895,79559,3
8,8,0.5,8,3,0.001244488233787644,0.000311221139284849,956,95914,3
8,5,0.5,7,3,0.0001704892522372825,0.00015397408692180436,3116,322516,3
8,6,0.5,4,1,0.22832159995716772,0.2283215989155536,545,44092,0
8,10,0.5,12,4,9.211391108487899e-06,6.585110481921369e-06,1635,179312,3
8,6,0.5,4,2,0.0007830960711771584,0.0007830522642796799,1599,148174,3
