ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
3,0,0.5,6,1,0.002077087003073297,0.002077087003071675,25,1418,0
3,0,0.5,6,3,1.887379141862766e-15,6.162975822039155e-33,133,5158,0
3,1,0.5,2,1,0.0003340095232438056,0.0003340095232435517,17,418,0
3,2,0.5,6,1,0.014124107425875332,0.014124107425875079,18,475,0
3,2,0.5,6,3,5.551115123125783e-16,2.465190328815662e-32,57,2619,0
3,3,0.5,2,1,0.0005628245516073882,0.0005628245516074963,26,646,0
3,4,0.5,2,1,8.868917567017576e-08,8.868917570245244e-08,23,589,0
3,5,0.5,4,1,0.002666325196685637,0.0026663251966855725,20,494,0
3,5,0.5,4,2,0.00025558146447601793,0.0002555814644754765,55,1975,0
3,6,0.5,4,1,0.0010227511227461905,0.0010227511227461053,28,589,0
3,6,0.5,4,2,0.00011061238491927305,0.00011061238491734632,87,2675,0
3,7,0.5,2,1,3.18232919549466e-05,3.182329195441075e-05,22,532,0
3,8,0.5,4,1,0.0012964124141229272,0.0012964124141227,25,722,0
3,8,0.5,4,2,1.1936101622422868e-05,1.1936101615783187e-05,118,3836,0
3,9,0.5,2,1,0.00013253954384739863,0.00013253954384718252,26,570,0
3,10,0.5,2,1,3.0163691544515814e-08,3.0163691588732734e-08,24,779,0
3,11,0.5,4,1,0.033036016436974625,0.03303601643697484,23,1038,0
3,11,0.5,4,2,2.944017400974275e-07,2.944017373277127e-07,46,1650,0
3,12,0.5,6,1,0.004696812292848573,0.004696812292848184,19,437,0
3,12,0.5,6,3,5.551115123125783e-16,5.546678239835239e-32,214,8567,0
3,13,0.5,2,1,1.174991855790175e-05,1.1749918557789881e-05,25,836,0
3,14,0.5,6,1,0.05142156376696638,0.05142156376696615,22,1266,0
3,14,0.5,6,3,1.1102230246251565e-16,2.465190328815662e-32,110,3875,0
3,15,0.5,4,1,0.0005558224702584269,0.0005558224702584453,18,475,0
3,15,0.5,4,2,1.7469108395617994e-05,1.7469108380721222e-05,112,3675,0
3,16,0.5,2,1,0.00010807574069471304,0.00010807574069411112,22,532,0
3,17,0.5,2,1,9.597577275866076e-05,9.597577275868174e-05,24,513,0
3,18,0.5,6,1,0.0644384115729868,0.06443841157298635,43,1393,0
3,18,0.5,6,3,5.662137425588298e-15,6.162975822039155e-33,92,4166,0
3,19,0.5,4,1,0.0013017013282622392,0.0013017013282622383,32,1007,0
3,19,0.5,4,2,2.9868981510361436e-07,2.9868981480059066e-07,43,2025,0
3,20,0.5,4,1,0.019243277163721206,0.019243277163721033,25,760,0
3,20,0.5,4,2,3.094701537131872e-05,3.094701536968853e-05,40,1075,0
3,21,0.5,2,1,0.0002218056924655487,0.00022180569246522594,17,1114,0
3,22,0.5,4,1,0.0026847500367982446,0.0026847500367982047,25,646,0
3,22,0.5,4,2,8.15441020064478e-05,8.154410200194114e-05,39,1225,0
3,23,0.5,2,1,0.00043870735445705744,0.0004387073544568688,20,437,0
3,24,0.5,2,1,0.0002857291311221255,0.00028572913112198347,21,551,0
