ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
4,0,-1,11,1,0.21289453959643273,0.21289453946090464,72,17834,0
4,0,-1,10,1,0.18705358815763967,0.18705358810479633,66,16147,0
4,1,-1,11,1,0.22858504540631758,0.22858504536448188,74,18557,0
4,1,-1,10,1,0.2339375055320953,0.23393750547811598,75,18557,0
4,2,-1,10,1,0.18476832566034485,0.18476832559304668,68,17111,0
4,2,-1,11,1,0.25515997545955493,0.255159975393027,102,25064,0
4,3,-1,11,1,0.21297136128176725,0.21297136121135402,67,16388,0
4,3,-1,10,1,0.20955040186116208,0.2095504018035442,59,14460,0
4,4,-1,11,1,0.22359295696831283,0.22359295688545355,81,20003,0
4,4,-1,10,1,0.20938252026390614,0.20938252019734693,63,15424,0
4,5,-1,10,1,0.20146865566916067,0.20146865557009097,83,20244,0
4,5,-1,10,1,0.24044598956534735,0.24044598947846796,102,25305,0
4,6,-1,10,1,0.19466477681393063,0.19466477676114846,57,13978,0
4,6,-1,10,1,0.20478582131084028,0.20478582126578812,70,17352,0
4,7,-1,10,1,0.17627598602985994,0.17627598595883268,61,15183,0
4,7,-1,9,1,0.1995328601073339,0.19953286004750903,62,15183,0
4,8,-1,10,1,0.22161138885110615,0.22161138874781178,68,16629,0
4,8,-1,11,1,0.2115720677841859,0.2115720677268836,61,14942,0
4,9,-1,10,1,0.2111150151034179,0.21111501502847213,66,16388,0
4,9,-1,11,1,0.20873700750004653,0.20873700743394769,59,14460,0
4,10,-1,11,1,0.2075931276241239,0.20759312757588647,70,17111,0
