ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,0.05,2,1,9.769962616701378e-15,9.75587239099324e-15,23,319,0
2,1,0.05,1,1,7.347011887759436e-12,1.801634202061899e-42,48,670,0
2,2,0.05,1,1,4.50284254327471e-12,6.162975822040556e-33,45,537,0
2,3,0.05,1,1,8.602931700352201e-10,8.602874565042367e-10,38,364,0
2,4,0.05,2,1,2.0983215165415459e-13,2.1001788233226626e-13,15,320,0
2,5,0.05,1,1,3.164357664786621e-12,1.3059968669779142e-17,48,649,0
2,6,0.05,1,1,1.652011860642233e-13,2.4651933678754197e-32,48,481,0
2,7,0.05,1,1,7.023936987593515e-12,1.4421513647446247e-32,55,670,0
2,8,0.05,2,1,0.0,1.216355391729034e-16,21,351,0
2,9,0.05,1,1,4.780442708351984e-11,1.5407439555097894e-33,38,462,0
2,10,0.05,1,1,3.184119634624949e-12,2.2186712959340957e-31,69,1055,0
2,11,0.05,1,1,7.8026474170656e-13,6.162975827266771e-33,44,824,0
2,12,0.05,1,1,7.182032746300138e-12,2.61926476191324e-32,38,452,0
2,13,0.05,2,1,5.466294084044421e-12,5.466397233154862e-12,17,320,0
2,14,0.05,1,1,3.836930773104541e-13,6.471266769889342e-31,37,572,0
2,15,0.05,2,1,1.2370120483495839e-09,1.2370119641021075e-09,35,469,0
2,16,0.05,1,1,1.9895196601282805e-13,4.850837590837649e-21,38,488,0
2,17,0.05,1,1,1.751443434727662e-11,3.9391666323055615e-26,37,537,0
2,18,0.05,2,1,1.977662478225284e-11,1.9776658598409993e-11,16,217,0
2,19,0.05,1,1,7.958078640513122e-13,2.4651923200564313e-32,46,565,0
2,20,0.05,2,1,0.0,2.4308653429145085e-63,14,166,0
2,21,0.05,1,1,6.012967901369848e-13,1.2325951644085228e-32,44,607,0
2,22,0.05,1,1,2.97983859809392e-13,7.703719783288667e-33,42,569,0
2,23,0.05,1,1,5.921951817811077e-11,4.365373206257896e-32,41,666,0
2,24,0.05,1,1,2.858158154595003e-12,2.465190328850265e-32,43,836,0
