ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
5,0,0.05,2,2,1.4642065337966415e-11,2.1232619777056275e-23,51,2204,0
5,1,0.05,2,2,3.6244740542201725e-10,2.2010958192885844e-24,50,2242,0
5,2,0.05,2,2,2.0054347071862821e-10,5.290369225828032e-17,40,1748,0
5,3,0.05,2,2,4.7278625459057366e-11,6.034462857656482e-25,51,2242,0
5,4,0.05,2,2,5.928302293511933e-10,2.684733183661699e-24,52,2280,0
5,5,0.05,4,2,0.0012012019824773068,0.001201201962864006,88,3838,0
5,5,0.05,4,4,3.691116171933295e-05,3.6908556562801596e-05,163,7000,0
5,6,0.05,2,2,1.1410317135585046e-10,5.399407382338626e-25,40,1786,0
5,7,0.05,2,2,3.9697845011232857e-10,5.4219102693774725e-15,44,1976,0
5,8,0.05,2,2,5.195572860827724e-10,2.482810387759953e-20,69,3002,0
5,9,0.05,2,2,7.900013976325226e-12,1.2572068704821039e-18,49,2128,0
5,10,0.05,2,2,1.1423745283067888e-09,8.111359325777441e-10,45,2014,0
5,11,0.05,2,2,9.051981386676289e-12,3.5132840506255586e-14,61,2546,0
5,12,0.05,2,2,4.6419457166990696e-10,1.4203123378928499e-18,79,3230,0
5,13,0.05,2,2,1.9876322809864178e-11,3.9566363422938907e-22,154,7780,0
5,14,0.05,2,2,1.3184786595843434e-11,1.13167649412536e-17,79,3382,0
5,15,0.05,2,2,2.2866946114419306e-09,2.1851977732848596e-09,69,2888,0
5,16,0.05,2,2,3.80115494635902e-10,7.489883191897418e-24,94,3876,0
5,17,0.05,2,2,4.154698807212753e-11,2.04871281826692e-13,92,4218,0
5,18,0.05,2,2,2.34873231974575e-10,9.490127788631931e-18,49,2128,0
5,19,0.05,2,2,0.00017881957617493782,0.0001788193340688181,53,2242,0
5,20,0.05,2,2,3.4639846546724584e-11,2.9764031533238223e-21,74,3192,0
5,21,0.05,2,2,2.435481816220886e-10,1.3944305048401324e-20,93,3952,0
5,22,0.05,2,2,5.276460379732839e-10,1.2772932899763727e-13,67,3192,0
5,23,0.05,2,2,1.0645706538525701e-11,1.3853418326571857e-13,54,2318,0
5,24,0.05,2,2,1.85671256147657e-10,1.0262971083522317e-31,46,1824,0
