ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,0,0.05,4,1,0.1041783073542707,0.10417790292865522,1145,93586,3
8,0,0.05,4,2,9.943573708870446e-08,1.514783754088106e-16,414,39945,3
8,1,0.05,2,1,2.0189109140034134e-07,1.2645415453311476e-14,622,57908,3
8,1,0.05,1,1,4.132640783804931e-06,5.444018778046556e-13,519,44822,3
8,2,0.05,1,1,8.87635676072307e-08,4.9879936145131175e-19,703,57451,3
8,2,0.05,1,1,1.5053090418604143e-07,2.303471075908125e-14,1141,93817,3
8,3,0.05,1,1,1.3525131354885644e-06,1.246832995258614e-09,1529,129940,3
8,3,0.05,4,1,0.04962736566452397,0.04962735645422032,605,50005,0
