ns,sidx,T,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
8,17,0.5,12,2,0.2328478651621283,0.23284786275144082,392,31022,0
8,17,0.5,12,16,0.0031332066533453773,2.1908705377551285e-05,504,41001,3
8,18,0.5,14,2,0.17813240568815697,0.17812979969313208,765,61112,3
8,18,0.5,14,16,0.007363695798700609,0.000503566169900105,1700,166744,3
8,19,0.5,10,2,0.1806644464793008,0.18066280763263637,549,46874,3
8,19,0.5,10,16,0.0004858026479877542,0.0002005400455798349,628,56326,3
8,20,0.5,4,2,0.17369830419339471,0.17369787570312062,585,49590,3
8,20,0.5,4,4,0.0010080996486949156,0.0010075809960258045,770,69703,3
8,21,0.5,8,2,0.29087329511248977,0.29087327307885524,474,36099,3
8,21,0.5,8,8,0.0018175872763523393,0.0005619558421337206,908,82033,3
8,22,0.5,9,2,0.17283973848901601,0.1294887672160377,250,17420,3
8,22,0.5,9,16,0.01289144466789155,3.1697412219281365e-05,252,20540,3
8,23,0.5,10,2,0.23196985756768107,0.21604481504659684,816,79191,3
8,23,0.5,10,16,0.0009488159597300094,5.575059075108276e-05,1214,114534,3
8,24,0.5,4,2,0.011561181760298966,0.011560860997216718,658,58233,3
8,24,0.5,4,4,0.0007235884409261262,0.0007218580832604922,912,87122,3
