ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,0.05,2,1,1.021405182655144e-14,9.75587239099324e-15,24,419,0
2,1,0.05,1,1,1.5059065106015623e-12,1.801634202061899e-42,44,733,0
2,2,0.05,1,1,3.0890845437170356e-12,6.162975822040556e-33,46,648,0
2,3,0.05,1,1,8.611626967081065e-10,8.602874565042367e-10,36,490,0
2,4,0.05,2,1,2.0983215165415459e-13,2.1001788233226626e-13,16,348,0
2,5,0.05,1,1,3.184563723834799e-12,1.3059968669779142e-17,40,530,0
2,6,0.05,1,1,5.906386491005833e-13,2.4651933678754197e-32,51,565,0
2,7,0.05,1,1,2.8951951946964982e-11,1.4421513647446247e-32,24,460,0
2,8,0.05,2,1,6.661338147750939e-16,1.216355391729034e-16,20,221,0
2,9,0.05,1,1,1.416066375270475e-09,1.5407439555097894e-33,22,350,0
2,10,0.05,1,1,5.8124616231225446e-12,2.2186712959340957e-31,54,642,0
