ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,0.05,2,1,3.293472106147277e-08,3.293418105600335e-08,237,20756,0
7,1,0.05,2,1,1.6807559548581708e-06,2.019613783084962e-21,377,28682,3
7,2,0.05,2,1,1.034600183302814e-10,1.0300034579096012e-10,184,16332,0
7,3,0.05,2,1,7.232544273483299e-07,7.204284738620039e-07,302,23946,0
7,4,0.05,2,1,2.4229084324423056e-06,2.422908376986476e-06,119,13010,0
7,5,0.05,2,1,4.2916892262212514e-11,4.2454862785677266e-11,193,18701,0
7,6,0.05,4,1,0.17468502043656964,0.17468494374845459,257,24278,3
7,6,0.05,4,2,6.933342788784103e-11,3.926284596890244e-22,298,26645,0
7,7,0.05,2,1,2.3768805760604472e-05,2.3768172993908075e-05,640,50906,0
7,8,0.05,2,1,1.407613355541848e-06,1.407612805550364e-06,233,16320,0
7,9,0.05,2,1,2.0006456602494893e-08,1.999579088274147e-08,224,16000,0
7,10,0.05,2,1,9.405106693449738e-10,9.211547480026861e-10,206,16140,0
7,11,0.05,2,1,1.6444328163611743e-06,1.6444219061066302e-06,387,29516,0
7,12,0.05,2,1,1.2061718290823364e-10,1.1709213531218826e-10,169,14602,0
