ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
6,1.0,12,1,0.4161955493139037,0.41619554862125774,77,4370,0
6,1.0,12,2,0.12702414316977462,0.12702414311794413,71,3948,0
6,1.0,12,3,0.030633674698755997,0.030633674616839645,119,6192,0
6,1.0,12,4,0.01258057991273065,0.012580579036345699,146,7595,0
