ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
3,1.0,2,1,0.5001956026982574,0.5001956026929203,9,221,0
3,1.0,2,2,0.00019560273051799637,0.00019560269292027613,20,350,0
3,1.0,2,3,6.67021844187321e-05,6.637917998512311e-05,16,330,0
3,1.0,2,4,1.7675789344417936e-06,1.7674235175469468e-06,39,720,0
