ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
2,1.0,4,1,0.10387170563868509,0.10387170563674766,3,16,0
2,1.0,4,2,0.003981352070473898,0.003981352067720212,12,75,0
2,1.0,4,3,0.00019283650754697845,0.00019283650597967493,18,132,0
2,1.0,4,4,2.8044233602031454e-12,0,22,168,0
