ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
7,0.25,4,1,0.679693302408263,0.6796925654949122,59,5183,0
7,0.25,4,2,0.17969266315096954,0.17969256549491341,245,19092,0
7,0.25,4,3,0.05989897732754379,0.059898814946140105,286,22500,0
7,0.25,4,4,1.941065500776773e-06,1.939671753841936e-06,289,23104,0
