ns,T,r,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals
2,0.25,2,1,1.2934094072402855,0.07669131923966922,4,24,5
2,0.25,2,2,1.0380851733771124e-10,0,12,75,0
2,0.25,2,3,4.0141445722952085e-11,0,16,114,0
2,0.25,2,4,5.74207348336131e-13,0,20,210,0
