ns,sidx,T,re,na,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
4,0,0.5,6,1,0.016602127159776825,0.01660212715977627,40,1250,0
4,0,0.5,6,3,4.832204337623658e-05,1.070373172205787e-05,272,12679,2
4,1,0.5,6,1,0.08219540820943871,0.08219540820943866,53,1475,0
4,1,0.5,6,3,5.63017410470934e-11,5.401800490869536e-11,106,5229,0
4,2,0.5,4,1,0.009377634519128097,0.00937763451912604,50,1475,0
4,2,0.5,4,2,0.00012313311035183627,0.00012309217067643733,114,4154,2
4,3,0.5,4,1,0.10696166444513044,0.10696166444506369,109,3482,0
4,3,0.5,4,2,6.943485094446089e-06,6.924179308196497e-06,61,2697,2
4,4,0.5,4,1,0.016312442021513607,0.016312442021506,42,1125,0
4,4,0.5,4,2,9.156572856350298e-05,9.153054029540031e-05,153,5921,2
4,5,0.5,5,1,0.007534090594358611,0.0075340905940971484,73,2450,0
4,5,0.5,5,3,0.00025114950527282964,3.833406473851179e-06,449,18944,2
4,6,0.5,5,1,0.006584280931816622,0.006584277731187856,188,6075,0
4,6,0.5,5,3,6.141214476285128e-06,1.723369536943751e-07,193,8769,2
4,7,0.5,4,1,0.0009610921060614341,0.0009610921060449926,43,1225,0
4,7,0.5,4,2,2.9303566756455623e-06,2.9296165963744164e-06,239,8773,0
4,8,0.5,4,1,0.003538597869849669,0.0035385978698466622,48,1550,0
4,8,0.5,4,2,0.00042567904344692487,0.00017788967512089135,164,5859,2
4,9,0.5,4,1,0.002093520119160086,0.0020935201191493264,56,2012,0
4,9,0.5,4,2,2.1351477585973555e-08,2.106364844917288e-08,232,8847,0
4,10,0.5,4,1,0.02229754152572072,0.022297541525719722,74,2050,0
4,10,0.5,4,2,0.00014545841420843253,0.00014320078434348487,102,3813,2
4,11,0.5,4,1,0.13096175982766844,0.13096175982766778,51,1500,0
4,11,0.5,4,2,2.3395791970415303e-09,2.3395738344131317e-09,100,4278,0
4,12,0.5,4,1,0.006594866878590011,0.006594866878588571,40,1200,0
4,12,0.5,4,2,4.671405619482982e-05,4.558046675609701e-05,74,3318,2
4,13,0.5,5,1,0.06056004676483229,0.060560046764832114,55,1475,0
4,13,0.5,5,3,7.281317843110813e-07,6.925144280381866e-07,98,4970,2
4,14,0.5,4,1,0.0014198598583812228,0.001419859858380115,63,1775,0
4,14,0.5,4,2,1.8197772022610081e-07,1.8185426055093664e-07,88,3224,0
4,15,0.5,4,1,0.002461629912399399,0.002461629912380102,61,1750,0
4,15,0.5,4,2,5.7839510958501705e-11,5.647748957317286e-11,76,3069,0
4,16,0.5,3,1,0.0016558318290320617,0.0016558318290228879,43,1200,0
4,16,0.5,3,2,2.7611480422740087e-05,2.65359056078339e-05,105,3968,2
4,17,0.5,4,1,0.011661208578005011,0.011661208577964198,53,1625,0
4,17,0.5,4,2,1.9889473170886518e-05,1.8837195076911004e-05,171,6553,2
4,18,0.5,4,1,0.009509620189518841,0.009509620188616464,103,2925,0
4,18,0.5,4,2,0.0019727306888817076,4.71584254570904e-05,149,5239,2
4,19,0.5,4,1,0.005670129989091333,0.005670129989079634,100,2975,0
4,19,0.5,4,2,0.000469093025502465,3.23400680962732e-05,117,4371,2
4,20,0.5,4,1,0.05560394590567641,0.05560394590566778,47,1875,0
4,20,0.5,4,2,2.2769532025956885e-05,2.2769522879544565e-05,62,2201,0
4,21,0.5,4,1,0.003117651999272164,0.00311765199735023,81,2275,0
4,21,0.5,4,2,0.00012019743460922605,0.00011684765578609551,187,7472,2
4,22,0.5,4,1,0.08868970894445516,0.0886897089444498,48,1275,0
4,22,0.5,4,2,1.6173194770097155e-06,1.6132699912821481e-06,96,4290,0
4,23,0.5,2,1,0.00019844794042001013,0.00019844794041554533,35,1300,0
4,23,0.5,8,1,0.04794028157391006,0.0479402815739072,75,1975,0
4,24,0.5,8,3,0.00018720880261591244,4.219506344355756e-05,198,8362,2
