ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
4,0,2,2,9.695201673842746e-05,9.695194020828223e-05,73,1580,0
4,0,2,2,3.4721601815945746e-08,3.516788523488502e-32,118,5071,2
4,1,2,2,5.084261524901379e-06,5.083939999654381e-06,61,1460,0
4,1,1,2,4.948264020754323e-11,8.753887253303708e-22,15,740,0
4,2,2,2,2.4602458736922017e-08,2.287385321865563e-25,102,2560,2
4,2,2,2,6.820166653653814e-11,5.305288146841647e-31,44,1120,0
4,3,1,2,5.654721135783802e-11,1.8749411386940205e-15,16,540,0
4,3,2,2,1.1591198758598154e-06,1.1588949620584802e-06,77,2584,0
4,4,1,2,1.860148568511022e-08,2.2738267331564484e-31,34,1055,2
4,4,3,2,0.0012099385402142282,0.0012099371063983117,96,2020,0
4,5,3,4,6.097282678751981e-10,8.524069507732116e-20,107,2750,0
4,5,2,2,9.967138225874805e-12,2.4993891301957932e-20,33,780,0
4,6,1,2,5.149880522026251e-11,1.6858271685161878e-20,15,440,0
4,6,2,2,1.4097175582428179e-07,5.508793107848352e-30,157,3780,2
4,7,1,2,4.260102952624578e-07,1.6379100463461073e-18,20,540,2
4,7,2,2,5.882500699216919e-06,5.882249967301494e-06,85,1960,0
4,8,1,2,1.6006307390625807e-11,2.333012510035551e-18,13,560,0
4,8,1,2,4.767406621408732e-05,1.1246652142031228e-12,45,1574,2
4,9,2,2,2.439668467246747e-10,1.238554959490388e-15,73,1600,0
4,9,1,2,9.088174657279069e-10,7.568658001745228e-34,16,460,0
4,10,2,2,1.4045589136202352e-09,2.3374147235049225e-13,70,1600,0
4,10,1,2,1.9429232800405316e-07,1.0147265863859896e-12,44,1579,2
4,11,1,2,3.730349362740526e-14,4.1173057850611466e-26,19,600,0
4,11,1,2,2.3536150384195764e-07,1.0057682523377687e-24,42,1494,2
4,12,1,2,7.909230159697245e-06,7.03606790131108e-07,20,500,2
4,12,2,2,2.9883673313690906e-10,7.2641762141541e-18,181,4894,0
