ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
7,0,2,2,8.648284310908139e-10,8.033411760241997e-10,323,25480,1
7,0,2,2,1.8276313262788335e-07,8.034136474524363e-14,689,51544,3
7,1,2,2,1.8200281282076958e-08,1.6962827968988618e-08,419,27238,0
7,1,4,2,0.004805194826353998,0.004730393457441642,291,17304,3
7,2,4,4,4.4334636921661286e-05,4.996032133663787e-24,647,39962,3
7,2,4,2,0.0160593787566482,0.016059377683900034,334,23124,0
7,3,4,4,8.81797856955302e-10,5.607356092270845e-15,585,46202,1
7,3,2,2,6.537030916575759e-10,1.9186286661664152e-10,363,23604,0
7,4,2,2,1.636315635178409e-05,1.6362227474243682e-05,423,27976,0
7,4,2,2,3.6592675156654764e-07,3.65745121478248e-07,196,13560,0
7,5,2,2,3.5546610099856935e-10,4.1104717374327745e-23,326,22692,0
7,5,2,2,1.155886342973922e-06,1.2316490601060993e-09,410,31548,3
7,6,2,2,4.747170456975702e-05,4.743647304760003e-05,503,40976,3
7,6,2,2,8.629277181704254e-09,5.8054122391856835e-09,237,15686,0
