ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
6,0,2,2,2.175612101806834e-06,9.22313614731203e-07,343,23438,2
6,0,1,2,3.866331765856046e-08,8.768525784690091e-15,145,9815,2
6,1,2,2,0.00011254142768901687,0.00011254125533535859,165,8366,0
6,1,1,2,6.061009028002218e-09,7.749398312460837e-15,79,4418,0
6,2,1,2,6.454220935481203e-09,3.293082003987805e-12,54,2726,0
6,2,2,2,5.370314215547012e-08,1.8052240686116705e-15,138,9629,2
6,3,1,2,1.4776024848117686e-10,1.1637668353665174e-27,73,3854,0
6,3,1,2,1.0008020925322825e-06,7.234765696310098e-22,239,18018,2
6,4,2,2,7.139164814873311e-10,2.356499933005738e-11,88,4559,0
6,4,2,2,7.408575437573006e-07,1.4497439040501058e-15,134,8178,2
6,5,2,2,2.2625777251761292e-08,2.2286623205519828e-08,133,7426,0
6,5,2,2,3.311157792396102e-09,3.214718494885054e-15,231,17408,1
6,6,2,2,4.053131097414564e-08,2.6481405619164186e-21,230,12573,2
6,6,1,2,4.37775441941568e-06,3.6880498417745724e-21,42,2632,2
6,7,2,2,1.495772394832784e-09,2.3275528889367226e-10,140,7003,0
6,7,2,2,1.3242868179830225e-07,1.3587928927901681e-13,335,20346,2
6,8,1,2,1.940299643399257e-06,3.6902887484641526e-07,116,7035,2
6,8,2,2,4.580444912249959e-10,5.291665261449181e-16,193,12083,0
6,9,2,2,4.456259396157236e-06,4.453753254685986e-06,268,17828,0
6,9,2,2,0.027800094161668287,0.00014710699507415446,182,10964,2
6,10,1,2,5.1345194762575375e-09,1.3098958844252402e-11,59,3854,0
6,10,1,2,1.145608522490349e-06,3.349519412478145e-07,112,7418,2
6,11,1,2,3.809885740224672e-11,5.560138636431273e-13,45,2491,0
6,11,2,2,3.667928851758262e-07,2.311884791957833e-20,119,7373,2
6,12,1,2,2.2590623012241906e-06,1.1420159271758236e-08,199,14774,2
