ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
9,0,4,2,0.03504332318310788,0.03504331169964027,718,92496,3
9,0,4,4,0.026282382603448284,4.6168991118404e-11,793,97456,3
9,1,2,2,3.846161102938339e-07,2.2217038402899882e-10,1038,122890,3
9,1,2,2,7.583058942994825e-07,1.8498764987212937e-12,415,48770,3
9,2,2,2,7.906349263508972e-06,1.0430230444023415e-07,1017,122296,3
9,2,2,2,3.044017646836039e-07,7.204183771876097e-08,378,44306,3
9,3,2,2,3.6262064211367573e-06,1.9270839126316213e-11,402,49636,3
9,3,2,2,1.3137120303818861e-06,9.338558032659917e-11,1077,131448,3
