ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,2,2,8.727469189562242e-07,8.72746682446136e-07,14,80,0
2,0,1,2,5.1620871758917275e-05,5.162084491778546e-05,22,130,0
2,1,2,2,1.0686571370044362e-06,1.0686045637106574e-06,16,115,0
2,1,4,2,0.005406434642686309,0.005406434635833914,11,70,0
2,2,4,4,4.4121817310838196e-11,0.0,17,189,0
2,2,3,2,0.00047370742618180195,0.00047370738124609104,15,90,0
2,3,3,4,6.994405055138486e-14,4.930380657631324e-32,25,217,0
2,3,2,2,4.425029600030328e-05,4.4250281526752145e-05,15,90,0
2,4,4,2,0.023021056472717905,0.023021056442451004,11,60,0
2,4,4,4,3.628486400231168e-11,0.0,14,140,0
2,5,4,2,0.022138235130666928,0.022138235129700264,14,90,0
2,5,4,4,7.056577544517495e-13,4.930380657631324e-32,23,217,0
2,6,2,2,5.451438559944677e-05,5.4514383526589e-05,18,125,0
2,6,2,2,2.7623696441381185e-08,2.7623564655572005e-08,15,95,0
2,7,4,2,0.008335645990609653,0.008335645990469539,13,90,0
2,7,4,4,5.580025330687022e-11,1.232595164407831e-32,18,154,0
2,8,2,2,2.0439426390739257e-05,2.04394251335044e-05,15,90,0
2,8,2,2,3.337000182357386e-05,3.336999702387797e-05,15,90,0
2,9,4,2,0.034569851346265,0.03456985132954691,12,80,0
2,9,4,4,5.597744490160039e-13,1.232595164407831e-32,19,168,0
2,10,1,2,4.5603488147305526e-05,3.687260680434145e-05,8,60,0
2,10,3,2,0.00019661266919746012,0.00019661266871426921,14,80,0
2,11,3,4,3.578937146642147e-11,0.0,15,126,0
2,11,3,2,0.0006087327499388895,0.0006087327498719695,22,145,0
2,12,3,4,2.2554120382434206e-06,1.232595164407831e-32,10,91,0
2,12,2,2,0.00013136043673878106,0.00013136042614075475,10,60,0
2,13,2,2,1.540279714662418e-06,1.5402346706527815e-06,13,75,0
2,13,1,2,9.449766613656152e-08,9.449170440846125e-08,25,140,0
2,14,2,2,5.4514888361723024e-05,5.45148882009342e-05,16,90,0
2,14,2,2,7.659692435435517e-06,7.659691610920166e-06,15,90,0
2,15,4,2,0.012939369698513392,0.012939369698448479,15,105,0
2,15,4,4,7.247002997701202e-11,0.0,17,147,0
2,16,3,2,0.00040289528526904483,0.000402895282914495,20,115,0
2,16,3,4,7.314149286230531e-13,4.930380657631324e-32,28,224,0
2,17,3,2,0.0004173201673915994,0.0004173201633364933,14,90,0
2,17,3,4,5.084821452783217e-14,2.7733391199176196e-32,17,133,0
