ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
5,0,8,2,0.11283862063527794,0.1128386203037265,73,3002,0
5,0,8,8,5.2352082004714084e-05,5.235163166473451e-05,172,8908,0
5,1,4,2,0.06841779611760423,0.06841779580813638,68,2774,0
5,1,4,4,0.0004322812332007153,0.00043228120935477333,79,3280,0
5,2,10,2,0.13655698489264656,0.13655698411021872,104,4522,0
5,2,10,16,9.58577662102389e-06,2.8579298663294877e-06,317,20096,2
5,3,4,2,0.022091967037166427,0.022091966179170808,84,3306,0
5,3,4,4,8.67695270629909e-05,8.672492347466592e-05,321,15988,2
5,4,4,2,0.01999348805763801,0.01999348800636861,34,1634,0
5,4,4,4,0.00011526288704832854,0.00011526256944229552,117,4960,0
5,5,12,2,0.10093888705522813,0.10093888672010687,54,2242,0
5,5,12,16,2.3405011950750065e-07,5.3589460685367675e-08,262,14300,2
5,6,4,2,0.006453792567935324,0.006453792299370248,115,5206,0
5,6,4,4,2.377083530680224e-06,2.373553712151276e-06,74,3000,0
5,7,2,2,5.379846540642941e-05,5.379834620629466e-05,54,2508,0
5,7,4,2,0.036008804172980025,0.036008804031108475,64,2774,0
5,8,4,4,2.4894232208638734e-05,2.4893577614960718e-05,154,7244,0
5,8,6,2,0.016940746847541654,0.016940746786152636,93,4066,0
5,9,6,8,3.885314381335547e-08,3.289966142245375e-08,345,16148,0
5,9,4,2,0.006990128509065663,0.00699012809086395,76,3306,0
5,10,4,4,6.231322050609389e-05,6.231252431998315e-05,172,7400,0
5,10,6,2,0.08304839812994724,0.08304839812035585,52,2470,0
5,11,6,8,0.0005353155361503825,9.996553040464922e-05,146,6732,2
5,11,8,2,0.0196256295724081,0.019625629367123875,68,3154,0
5,12,8,8,0.0003071492233684969,3.159809379791547e-05,215,9856,2
5,12,4,2,0.0012103510671930273,0.0012103508038171363,47,1976,0
5,13,4,4,8.420051548330143e-05,8.419469309151701e-05,302,14064,0
5,13,6,2,0.003038428385663816,0.003038428341850335,65,3040,0
5,14,6,8,1.8827923613407016e-05,6.364433113884549e-07,371,18624,2
5,14,4,2,0.11563235024103247,0.11563234996950408,70,3078,0
5,15,4,4,3.497427730059233e-05,3.497393122926992e-05,134,5680,0
5,15,6,2,0.044667961012297974,0.04466796073416711,92,3838,0
5,16,6,8,1.0174253861627847e-07,9.045990081521692e-08,309,15268,2
5,16,8,2,0.08076317461527904,0.08076317431034633,49,2242,0
5,17,8,8,0.00014275270603075763,0.0001427525075149491,121,5676,0
5,17,4,2,0.1803775913615514,0.18037759099653844,127,5358,0
5,18,4,4,0.00010114765183355523,0.00010114511735083578,272,12868,0
5,18,4,2,0.00844834781860826,0.008448347613274503,54,2166,0
5,19,4,4,8.099198233191274e-07,8.092842311430208e-07,181,7800,0
5,19,8,2,0.005345401843432129,0.005345401751866843,55,2318,0
5,20,8,8,0.0005410595205826985,5.134727914663194e-06,263,15260,2
5,20,4,2,0.05476180664350516,0.05476180652048468,55,2242,0
5,21,4,4,0.00014183844466464368,0.00014183794634405343,135,5680,0
5,21,4,2,0.0008394294321483198,0.0008394282271671455,40,1634,0
5,22,4,4,0.00044876209035660253,4.2680615739111883e-05,179,7760,2
5,22,2,2,6.856988130155006e-05,6.856956099528922e-05,72,3154,0
5,23,6,2,0.012853145644497577,0.012853145346385864,93,4028,0
5,23,6,8,6.864445038412548e-05,1.4519387198814574e-05,297,17616,2
