ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
2,0,2,2,1.2145839889399213e-13,9.75587239099324e-15,18,105,0
2,0,1,2,6.682654429823742e-12,1.801634202061899e-42,7,45,0
2,1,1,2,7.052136652418994e-13,6.162975822040556e-33,7,65,0
2,1,1,2,5.103794364913483e-08,8.602874565042367e-10,8,65,0
2,2,2,2,1.653122083666858e-12,2.1001788233226626e-13,12,65,0
2,2,1,2,4.440892098500626e-16,1.3059968669779142e-17,8,45,0
2,3,1,2,1.6044943151882762e-12,2.4651933678754197e-32,6,40,0
2,3,1,2,1.687538997430238e-14,1.4421513647446247e-32,8,45,0
2,4,2,2,7.709832772206937e-12,1.216355391729034e-16,14,115,0
2,4,1,2,2.3092638912203256e-14,1.5407439555097894e-33,7,40,0
2,5,1,2,1.0724754417879012e-13,2.2186712959340957e-31,7,45,0
2,5,1,2,6.944445019030354e-12,6.162975827266771e-33,8,45,0
2,6,1,2,2.2581936320875684e-13,2.61926476191324e-32,8,50,0
2,6,2,2,5.631051180898794e-12,5.466397233154862e-12,8,55,0
2,7,1,2,6.129794916098774e-08,6.471266769889342e-31,5,35,0
2,7,2,2,1.2421175199506251e-09,1.2370119641021075e-09,20,110,0
2,8,1,2,1.0935696792557792e-11,4.850837590837649e-21,5,35,0
2,8,1,2,1.788258430224232e-11,3.9391666323055615e-26,7,65,0
2,9,2,2,2.3044011143724674e-11,1.9776658598409993e-11,9,65,0
2,9,1,2,1.8385293287792592e-13,2.4651923200564313e-32,7,40,0
2,10,2,2,2.1715962361668062e-13,2.4308653429145085e-63,11,70,0
2,10,1,2,5.027978033922409e-12,1.2325951644085228e-32,8,45,0
2,11,1,2,1.0489702439997473e-09,7.703719783288667e-33,8,60,0
2,11,1,2,1.2174039554224692e-11,4.365373206257896e-32,8,45,0
2,12,1,2,2.220446049250313e-16,2.465190328850265e-32,6,40,0
