ns,sidx,re,R,numerical_DHS,opt_DHS,num_iterations,num_func_evals,num_pert
3,0,2,2,5.2976512066038595e-12,4.349463024618353e-26,19,406,0
3,0,2,2,1.120481485372693e-11,1.3208876704533292e-14,21,350,0
3,1,2,2,3.867295372828039e-11,7.562468211240586e-28,17,280,0
3,1,2,2,2.4004798149235285e-11,2.2803880192999233e-17,18,322,0
3,2,2,2,2.139066701545289e-12,5.152114552695423e-27,19,350,0
3,2,2,2,7.793765632868599e-14,1.8930231008112556e-17,18,294,0
3,3,2,2,2.2593849013929912e-10,2.7884505506125453e-32,24,364,0
3,3,2,2,1.8225785325398647e-09,1.7787509878537967e-09,18,280,0
3,4,2,2,3.081424004847122e-12,4.581057868402382e-24,23,406,0
3,4,2,2,1.0547562823148837e-11,2.9242686696905288e-27,21,322,0
3,5,2,2,2.1453505638646675e-11,1.109735906282879e-23,17,350,0
3,5,2,2,8.331269008010622e-11,6.449882402303956e-11,21,336,0
3,6,2,2,9.328093852900565e-13,5.1237173801333455e-34,29,560,0
3,6,2,2,4.449218771185315e-12,4.340079369835329e-13,24,392,0
3,7,2,2,2.1169732633552485e-12,7.297527149096093e-21,20,336,0
3,7,2,2,2.8709257193781923e-12,1.542311779911531e-13,19,308,0
3,8,2,2,2.911426655316518e-11,2.3075486161150293e-33,18,294,0
3,8,2,2,3.3790747977491264e-12,3.826411504346e-33,17,308,0
3,9,2,2,2.831838430417122e-09,2.462000798357582e-09,21,392,0
3,9,2,2,6.0325078266032506e-12,5.334403474602944e-26,15,308,0
3,10,2,2,3.239519763553744e-11,1.0395692136860758e-31,19,294,0
3,10,2,2,1.5268897257669778e-12,3.586850735553848e-33,19,364,0
3,11,2,2,4.272360243362527e-12,2.802902387870417e-32,28,504,0
3,11,2,2,1.085354028873553e-12,3.450348747409162e-34,22,336,0
3,12,2,2,2.5723645435959952e-11,1.655548589748752e-24,24,350,0
